video_title,video_id,description,thumbnail,channel_title
GFG Weekly Coding Contest - 199 Post Analysis | GeeksforGeeks Practice,xVMgjSxXjug,Join us for a post-contest analysis with Jay Dalsaniya where we will discuss the problems from the GFG Weekly Coding Contest ...,https://i.ytimg.com/vi/xVMgjSxXjug/default_live.jpg,GeeksforGeeks Practice
Your Best Friend Vs GeeksforGeeks,KlTcN3Kjw9c,"Explore Premium LIVE and Online Courses : https://practice.geeksforgeeks.org/courses/ Follow us for more fun, knowledge and ...",https://i.ytimg.com/vi/KlTcN3Kjw9c/default.jpg,GeeksforGeeks
Competitive Programming vs Projects: What to Do in 2024?,HFqiXbzzrR8,Competitive Programming vs Projects: What to Do in 2024? Are you torn between competitive programming and working on ...,https://i.ytimg.com/vi/HFqiXbzzrR8/default.jpg,GeeksforGeeks
Find median in a stream #geeksforgeeks #coding #gfg #python #gfgpractice #programming #gfgpotd,IMW7W-BSId0,,https://i.ytimg.com/vi/IMW7W-BSId0/default.jpg,gfgpotd___py
Can you Solve this Google Interview Question? | Puzzle for Software Developers,tiFIf_nUCZc,Can you Solve this Google Interview Question? | Puzzle for Software Developers Explore Premium LIVE and Online Courses ...,https://i.ytimg.com/vi/tiFIf_nUCZc/default.jpg,GeeksforGeeks
Longest valid Parentheses #geeksforgeeks #coding #gfg #python #gfgpractice #programming #gfgpotd,vpajhS46nl8,,https://i.ytimg.com/vi/vpajhS46nl8/default.jpg,gfgpotd___py
GSoC 2025 | Everything You Need to Know,4U8t0WUQGps,GSoC 2025 | Everything You Need to Know Want to crack Google Summer of Code (GSoC) in 2025? This video covers ...,https://i.ytimg.com/vi/4U8t0WUQGps/default.jpg,GeeksforGeeks
15.9.24 Geeks for Geeks Problem  of the Day  Solution  #geeksforgeeks #programming #coding,FWemGzRnqk0,,https://i.ytimg.com/vi/FWemGzRnqk0/default.jpg,Solve Exporing 
Day-9 | Stickler Thief | GFG POTD | 21 March 2025 | Geeks for Geeks Problem Of The Day | C++ | Hindi,_E9CVtXUPXk,Hi all! Hope you liked the explanation Don't forget to Subscribe -------------------------------------------------------------------------- Problem ...,https://i.ytimg.com/vi/_E9CVtXUPXk/default.jpg,CodeSpace
Can You Solve This Google Interview Question? | Puzzles for Software Engineers Part-6🔍,WynPf7Ps6Xk,Can You Solve This Google Interview Question? | Puzzles for Software Engineers Part-6   Think you have what it takes to crack a ...,https://i.ytimg.com/vi/WynPf7Ps6Xk/default.jpg,GeeksforGeeks
